Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Marapoama,2680,2576,506,73,6080
Marinópolis,1647,1615,416,40,3392
Mariápolis,2931,2886,543,109,6668
Martinópolis,21612,20371,2916,549,45566
Marília,196188,172864,30140,4461,418690
Matão,69336,64373,9157,2233,143478
Mauá,328305,298510,38573,12946,749897
Mendonça,5236,4986,934,119,11588
Meridiano,3554,3303,624,90,7960
Mesópolis,1798,1732,402,38,3707
Miguelópolis,16509,15267,2293,631,34446
Mineiros Do Tietê,9543,8897,1452,310,20060
Mira Estrela,2540,2482,635,53,5467
Miracatu,16272,14083,1665,403,37172
Mirandópolis,24673,22785,4131,526,55900
Mirante Do Paranapanema,13505,12181,2169,361,29685
Mirassol,49747,46957,6351,1696,104808
Mirassolândia,4240,4036,814,120,9294
Mococa,58346,53518,8945,1664,126261
Mogi Das Cruzes,347416,319199,46672,10221,786137
Mogi Guaçu,122802,114040,15017,3992,284685
Mogi Mirim,77891,72275,10976,2429,165185
Mombuca,3083,2902,401,70,7004
Mongaguá,48702,39416,5296,1184,104806
Monte Alegre Do Sul,6606,5963,949,189,14748
Monte Alto,40458,37875,5998,1160,87126
Monte Aprazível,18800,17766,3404,672,40585
Monte Azul Paulista,15520,14705,2547,339,33308
Monte Castelo,3399,3294,512,88,7171
Monte Mor,52541,45367,4129,1841,111824
Monteiro Lobato,3711,3292,497,90,9070
Monções,1759,1711,338,50,4027
Morro Agudo,22950,21616,3111,906,54120
Morungaba,11785,10967,1479,354,25828
Motuca,3478,3401,585,123,8833
Murutinga Do Sul,3263,3187,821,91,7131
Nantes,2279,2157,340,59,4700
Narandiba,4305,4140,583,123,8548
Natividade Da Serra,5906,5067,657,148,14672
Nazaré Paulista,15357,13882,1745,458,34190
Neves Paulista,7984,7539,1745,229,17607
Nhandeara,8712,8303,1894,240,21386
Nipoã,4061,3711,503,155,8485
Nova Aliança,5842,5600,1025,165,13266
Nova Campina,7232,7082,818,226,15716
Nova Canaã Paulista,1728,1670,423,25,3932
Nova Castilho,941,926,191,20,2167
Nova Europa,7747,7388,1144,299,19006
Nova Granada,16400,15808,2625,557,39085
Nova Guataporanga,1910,1875,427,35,4251
Nova Independência,4592,4462,519,88,9301
Nova Luzitânia,2495,2354,499,126,6407
Nova Odessa,46686,41764,4639,1771,98980
Novais,3674,3259,556,142,8502
Novo Horizonte,32486,30536,4966,1043,71433
Nuporanga,6195,5782,871,171,14749
Ocauçu,3568,3531,672,103,7147
Olímpia,46728,43073,6575,1383,98433
Onda Verde,3914,3694,573,103,8666
Oriente,5225,4930,775,167,10968
Orindiúva,5062,5031,709,195,11491
Orlândia,31893,29982,4660,1137,80316
Osasco,608241,515473,62106,18680,1227449
Oscar Bressane,2174,2107,577,46,4858
Osvaldo Cruz,26642,25524,4793,720,59325
Ourinhos,88366,78328,12472,2125,177839
Ouro Verde,6293,5807,1111,168,14439
Ouroeste,8596,8150,1417,261,17382
Pacaembu,13753,12980,2217,293,33503
Palestina,9516,8868,1599,347,20957
Palmares Paulista,7750,7399,936,452,19948
Palmeira D'Oeste,7808,7657,1778,193,17029
Palmital,17789,16982,3522,474,39621
Panorama,11798,10880,1592,274,27309
Paraguaçu Paulista,35098,33237,5113,1047,78838
Paraibuna,14622,13619,1845,421,31433
Paranapanema,16086,15040,1881,520,32524
Paranapuã,3539,3402,688,91,7621
Parapuã,8705,8021,1527,235,18670
Paraíso,4903,4669,827,164,10751
Pardinho,5877,5164,595,154,11492
Pariquera-Açu,16429,15211,3093,379,35097
Parisi,2187,2113,530,45,4864
Patrocínio Paulista,11993,11292,1555,326,27486
Paulicéia,6069,5786,803,205,12468
Paulistânia,1697,1610,297,38,3442
Paulo De Faria,7175,6770,1575,185,17245
Paulínia,86599,80036,9828,2942,196878
Pederneiras,36588,32619,4244,1204,78295
Pedra Bela,5532,5327,828,165,11444
Pedranópolis,2397,2372,485,56,4999
Pedregulho,13799,12428,1991,384,28924
Pedreira,37514,34492,5505,1344,87058
Pedrinhas Paulista,2522,2478,610,55,5367
Pedro De Toledo,8261,7462,1956,191,19738
Penápolis,51094,46789,7682,1323,114094
Pereira Barreto,20404,19002,3103,576,40976
Pereiras,6637,6184,1032,220,14205
Peruíbe,59722,52382,7687,1351,123792
Piacatu,4649,4450,665,133,11011
Piedade,45537,42428,5093,1563,97382
Pilar Do Sul,23881,22552,3154,681,49021
Pindamonhangaba,132417,118618,15192,4452,284900
Pindorama,12233,11587,2279,425,27548
Pinhalzinho,12826,12367,1691,401,27508
Piquerobi,2791,2523,534,54,6030
Piquete,10623,9972,1474,342,23576
Piracaia,23778,22328,3086,696,51439
Piracicaba,342210,321154,44782,10727,736231
Piraju,25252,23092,4035,563,53604
Pirajuí,19161,17521,2951,476,46390
Pirangi,9161,8785,1750,268,19648
Pirapora Do Bom Jesus,15402,12655,1342,446,34767
Pirapozinho,20575,18890,2698,564,45632
Pirassununga,60820,55148,9088,1709,136352
Piratininga,11939,11108,1827,340,24395
Pitangueiras,27720,25633,3799,1156,62691
Planalto,3765,3587,548,130,8055
Platina,2664,2596,458,77,5923
Poloni,5066,4883,1018,155,9752
Pompéia,17237,15649,2604,535,39204
Pongaí,2912,2789,613,81,6323
Pontal,32440,29798,2841,1599,75971
Pontalinda,3367,3246,483,107,7436
Pontes Gestal,2107,2055,413,61,4455
Populina,3643,3524,751,84,7342
Porangaba,8015,7483,1236,224,17861
Porto Feliz,44532,41864,4818,1343,97313
Porto Ferreira,44549,41257,6126,1402,92337
Potim,18851,17138,1598,515,43544
Potirendaba,14815,13661,2214,480,30263
Poá,92076,78767,10195,2940,198740
Pracinha,2820,2753,324,10,6572
Pradópolis,14752,13708,1798,681,33243
Praia Grande,274200,231506,32865,8155,563759
Pratânia,4528,4145,430,129,9566
Presidente Alves,3322,3128,685,102,7222
Presidente Bernardes,13461,12435,2536,237,27940
Presidente Epitácio,32096,29928,4528,916,73951
Presidente Prudente,192055,178249,30322,5202,416522
Presidente Venceslau,29711,27268,6066,951,62150
Promissão,28722,27141,4376,1054,62818
Quadra,3090,2795,411,114,6358
Quatá,10895,10377,1563,341,23798
Queiroz,2807,2678,396,85,6271
Queluz,8162,7129,939,294,18309
Quintana,5488,5352,958,150,12241
Rafard,7713,7024,903,246,22668
Rancharia,24292,23124,3848,708,53813
Redenção Da Serra,3442,3197,507,86,8542
Regente Feijó,16310,15470,2345,475,34138
Reginópolis,8217,7954,1049,72,17234
Registro,49469,44187,6320,1085,110452
Restinga,5809,5563,682,169,12132
Ribeira,2847,2644,498,58,6790
Ribeirão Bonito,9520,9045,1550,321,21094
Ribeirão Branco,14634,13834,1595,376,31293
Ribeirão Corrente,4027,3673,443,132,8231
Ribeirão Do Sul,3949,3786,850,80,8449
Ribeirão Dos Índios,1834,1801,501,44,3949
Ribeirão Grande,6578,6290,906,171,14256
Ribeirão Pires,95468,88372,11749,3338,207085
Ribeirão Preto,554347,502815,83553,20393,1352410
Rifaina,3563,3299,577,89,7591
Rincão,7720,7386,1515,291,18853
Rinópolis,7671,7098,1348,263,18090
Rio Claro,168838,150262,22621,5016,348958
Rio Das Pedras,25892,23331,2368,973,52010
Rio Grande Da Serra,32267,17722,1428,1393,97944
Riolândia,9932,9002,933,263,22692
Riversul,4830,4661,938,115,10404
Rosana,14131,13165,2158,372,29876
Roseira,8461,8095,1095,328,18531
Rubinéia,2959,2759,488,60,7096
Rubiácea,2418,2295,435,49,5022
Sabino,4520,4093,793,129,10208
Sagres,1995,1856,349,44,4433
Sales,5284,5223,927,145,11094
Sales Oliveira,9397,9174,1279,286,20614
Salesópolis,14410,13671,1868,459,29677
Salmourão,4026,3790,650,132,8603
Saltinho,7102,6592,875,262,14752
Salto,100324,90387,10973,3118,212872
Salto De Pirapora,35756,32636,4571,1118,77615
Salto Grande,7222,6589,972,214,15136
Sandovalina,3071,2885,614,79,7224
Santa Adélia,11826,11343,2055,423,25582
Santa Albertina,5244,5101,988,125,11594
Santa Branca,11333,10442,1498,349,26874
Santa Bárbara D'Oeste,149030,134482,17208,5365,319792
Santa Clara D'Oeste,2057,1961,380,32,4282
Santa Cruz Da Conceição,3696,3510,831,111,8357
Santa Cruz Da Esperança,1777,1702,292,40,4080
Santa Cruz Das Palmeiras,24318,22548,3027,984,56629
Santa Cruz Do Rio Pardo,39528,37437,6135,979,84701
Santa Ernestina,4842,4613,568,164,9841
Santa Fé Do Sul,29634,27300,5225,705,63327
Santa Gertrudes,19552,17180,2066,628,42720
Santa Isabel,45080,40518,5467,1166,98238
Santa Lúcia,6146,5759,748,238,15065
Santa Maria Da Serra,4604,4194,481,173,10289
Santa Mercedes,2630,2394,391,53,5347
Santa Rita D'Oeste,2292,2227,518,58,5133
Santa Rita Do Passa Quatro,22429,20405,4076,547,47094
Santa Rosa De Viterbo,20226,19073,3275,666,46112
Santa Salete,1438,1397,394,30,3117
Santana Da Ponte Pensa,1341,1341,385,32,2887
Santana De Parnaíba,121478,111957,14599,3749,296921
Santo Anastácio,15497,13860,2720,507,31756
Santo André,586986,524546,80873,17646,1291049
Santo Antônio Da Alegria,6042,5735,1095,155,12886
Santo Antônio De Posse,19314,16738,2011,648,42601
Santo Antônio Do Aracanguá,6479,6197,941,238,14700
Santo Antônio Do Jardim,5140,4916,908,192,10546
Santo Antônio Do Pinhal,6132,5550,740,148,13454
Santo Expedito,2560,2455,506,60,5799
Santos,378295,336201,82310,7985,821812
Santópolis Do Aguapeí,3235,3204,574,162,7636
Sarapuí,8452,7449,941,261,16387
Sarutaiá,3129,2941,530,66,6682
Sebastianópolis Do Sul,2894,2817,655,82,6040
Serra Azul,12141,10955,1111,156,24937
Serra Negra,24288,22490,3934,637,54062
Serrana,40162,37014,12515,0,52862
Sertãozinho,102455,95147,12663,3543,214818
Sete Barras,10595,9423,1145,259,23077
Severínia,12444,11644,1548,507,27851
Silveiras,5269,5166,965,162,11127
Socorro,34390,32235,5524,984,79376
Sorocaba,581218,494323,64446,17987,1204400
Sud Mennucci,6226,5890,1137,197,12656
Sumaré,227585,194865,17922,8473,484740
Suzano,237847,204218,22941,7563,515398
Suzanápolis,2944,2866,531,66,6766
São Bento Do Sapucaí,9948,9617,1377,239,22077
São Bernardo Do Campo,657817,607160,94084,21072,1438665
São Caetano Do Sul,134560,124672,30345,4879,315092
São Carlos,212439,198149,31516,6785,442942
São Francisco,2390,2359,783,43,4896
São Joaquim Da Barra,39695,38050,5477,1436,97086
São José Da Bela Vista,6253,5995,840,228,13885
São José Do Barreiro,3423,3286,560,88,7138
São José Do Rio Pardo,45283,41138,7574,1255,99444
São José Do Rio Preto,399244,367639,65373,11883,833190
São José Dos Campos,587529,525325,72111,16339,1239568
São João Da Boa Vista,78245,71397,13596,2120,164048
São João Das Duas Pontes,2139,2062,410,60,4651
São João De Iracema,1567,1486,359,35,3638
São João Do Pau D'Alho,1919,1837,468,30,4083
São Lourenço Da Serra,12436,11040,1204,374,26521
São Luiz Do Paraitinga,9360,9118,1452,240,20554
São Manuel,29907,28005,4210,1036,63831
São Miguel Arcanjo,26797,25360,3173,836,53563
São Paulo,10613905,9608386,1493439,327998,22202047
São Pedro,30461,26100,4290,793,66895
São Pedro Do Turvo,6127,5698,1033,160,13993
São Roque,72231,63317,9468,2056,157903
São Sebastião,73856,63741,5260,2351,150653
São Sebastião Da Grama,9036,8604,1542,295,20832
São Simão,11763,10944,1951,355,26937
São Vicente,276486,237970,43655,7609,596814
Tabapuã,9711,9316,1796,268,21275
Tabatinga,12063,11380,1749,521,27031
Taboão Da Serra,219974,194024,22853,7662,504639
Taciba,4849,4559,805,156,10632
Taguaí,10620,10174,1489,344,24237
Taiaçu,4804,4692,990,150,10895
Taiúva,5578,5313,1044,158,11518
Tambaú,17491,15736,2400,572,39068
Tanabi,21323,20196,3861,625,46796
Tapiratiba,10558,10060,1448,283,24609
Tapiraí,6782,6252,910,151,13541
Taquaral,2287,2236,381,59,5082
Taquaritinga,44551,42349,7400,1299,92692
Taquarituba,21150,20019,2841,495,43079
Taquarivaí,5009,4691,452,128,11224
Tarabai,5629,5269,709,204,12340
Tarumã,11967,11380,1296,410,24736
Tatuí,100697,89315,11556,3093,204060
Taubaté,252923,231691,33930,8517,552990
Tejupá,3636,3381,447,90,7557
Teodoro Sampaio,18239,16769,2199,574,36389
Terra Roxa,6631,6353,1021,245,14989
Tietê,31815,30125,4402,1123,70414
Timburi,2290,2196,474,39,4558
Torre De Pedra,2372,2283,389,50,5072
Torrinha,7989,7634,1399,256,17114
Trabiju,1476,1377,294,35,3246
Tremembé,41201,37607,5017,1226,92020
Três Fronteiras,5389,5191,1162,135,11110
Tuiuti,5514,5160,825,181,13249
Tupi Paulista,14112,13360,2401,325,28655
Tupã,53976,50715,8745,1387,113396
Turiúba,1613,1596,358,39,3580
Turmalina,1716,1678,482,23,3532
Ubarana,4533,4328,581,161,10018
Ubatuba,79948,65892,7047,2149,174941
Ubirajara,4431,3746,480,108,10085
Uchoa,8203,8005,1790,232,17851
União Paulista,1406,1373,259,36,2848
Uru,1154,1135,338,26,2482
Urupês,11503,10976,1990,351,24945
Urânia,7364,6953,1500,233,16029
Valentim Gentil,11401,10784,1537,407,25482
Valinhos,103708,95018,15436,3341,227346
Valparaíso,20417,18763,2589,609,42905
Vargem,8262,7532,1225,257,18807
Vargem Grande Do Sul,34402,31727,5544,1017,73960
Vargem Grande Paulista,40027,34240,3935,1369,89420
Vera Cruz,8445,8067,1647,181,18117
Vinhedo,63551,58537,9129,2286,142487
Viradouro,14885,14008,2371,468,33260
Vista Alegre Do Alto,6524,6296,929,254,15391
Vitória Brasil,1606,1396,230,37,3508
Votorantim,87651,79962,10467,3259,205230
Votuporanga,81359,75027,14052,2315,178979
Várzea Paulista,91830,80829,6987,3591,205425
Zacarias,2130,2091,357,69,4724
Águas Da Prata,6588,6372,1188,193,14476
Águas De Lindóia,16503,15501,2341,463,35686
Águas De Santa Bárbara,5340,4808,812,136,10667
Águas De São Pedro,3474,3395,892,59,9638
Álvares Florence,3350,3255,688,80,7719
Álvares Machado,19940,18441,2961,600,43226
Álvaro De Carvalho,5458,5198,767,107,10548
Óleo,2438,2384,444,54,5085
